,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
11860,7,Earthshaker,111,Oracle,Q,0.5,0.4450354609929078,36.0,0.4852320675105485,Magic Wand,180.0,0.3738317757009346,Arcane Boots,31.0,0.1666666666666667,Cloak,37.0,0.5660377358490566,Ghost Scepter,178.0,0.52,Soul Ring
11861,8,Juggernaut,111,Oracle,E,0.3856502242152466,0.3923611111111111,36.0,0.3449197860962567,Magic Wand,180.0,0.3353293413173652,Arcane Boots,37.0,0.5,Ghost Scepter,79.0,0.3243243243243243,Mekansm,31.0,0.2173913043478261,Cloak
11862,9,Mirana,111,Oracle,E,0.4378378378378379,0.43283582089552236,36.0,0.4905660377358491,Magic Wand,180.0,0.3973214285714285,Arcane Boots,79.0,0.3278688524590164,Mekansm,232.0,0.573170731707317,Aether Lens,31.0,0.4,Cloak
11863,10,Morphling,111,Oracle,Q,0.6666666666666666,0.45726495726495725,36.0,0.5,Magic Wand,180.0,0.375,Arcane Boots,79.0,0.3846153846153846,Mekansm,232.0,0.5657894736842105,Aether Lens,254.0,0.5476190476190477,Glimmer Cape
11864,11,Shadow Fiend,111,Oracle,E,0.4067796610169492,0.44282238442822386,36.0,0.4871794871794872,Magic Wand,180.0,0.3728813559322034,Arcane Boots,102.0,0.515625,Force Staff,79.0,0.3956043956043956,Mekansm,214.0,0.4305555555555556,Tranquil Boots
11865,12,Phantom Lancer,111,Oracle,E,0.5434782608695652,0.5301204819277109,36.0,0.5769230769230769,Magic Wand,180.0,0.3278688524590164,Arcane Boots,48.0,0.9285714285714286,Boots of Travel,232.0,0.7222222222222222,Aether Lens,79.0,0.4411764705882353,Mekansm
11866,13,Puck,111,Oracle,Q,0.5714285714285714,0.44019138755980863,36.0,0.4137931034482759,Magic Wand,180.0,0.3402061855670103,Arcane Boots,79.0,0.3958333333333333,Mekansm,232.0,0.5238095238095238,Aether Lens,214.0,0.4642857142857143,Tranquil Boots
11867,14,Pudge,111,Oracle,E,0.4369747899159664,0.4117647058823529,36.0,0.3795620437956204,Magic Wand,180.0,0.3759590792838874,Arcane Boots,37.0,0.4683544303797468,Ghost Scepter,79.0,0.3333333333333333,Mekansm,178.0,0.4285714285714285,Soul Ring
11868,15,Razor,111,Oracle,E,0.5555555555555556,0.4625,36.0,0.4615384615384616,Magic Wand,180.0,0.5625,Arcane Boots,79.0,0.6666666666666666,Mekansm,214.0,0.4375,Tranquil Boots,254.0,0.6666666666666666,Glimmer Cape
11869,16,Sand King,111,Oracle,Q,0.6666666666666666,0.40625,36.0,0.3981481481481481,Magic Wand,180.0,0.3636363636363636,Arcane Boots,79.0,0.3389830508474576,Mekansm,214.0,0.4347826086956522,Tranquil Boots,232.0,0.4268292682926829,Aether Lens
