,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4,item5,item_WR5,item_name5
27,30,Witch Doctor,1,Anti-Mage,Q,0.4948096885813149,0.4679865206402696,63.0,0.4268224819143016,Power Treads,145.0,0.476423487544484,Battle Fury,147.0,0.5772972972972973,Manta Style,81.0,0.5277497477295661,Vladmir's Offering,143.0,0.4957627118644068,Skull Basher,48.0,0.6715328467153284,Boots of Travel
28,31,Lich,1,Anti-Mage,W,0.5803571428571429,0.4902459711620017,63.0,0.4644808743169399,Power Treads,145.0,0.4968777876895629,Battle Fury,81.0,0.541015625,Vladmir's Offering,147.0,0.5796645702306079,Manta Style,143.0,0.5260869565217391,Skull Basher,48.0,0.6280193236714976,Boots of Travel
29,32,Riki,1,Anti-Mage,E,0.6363636363636364,0.4970178926441352,63.0,0.4548022598870056,Power Treads,145.0,0.5047318611987381,Battle Fury,147.0,0.6243455497382199,Manta Style,48.0,0.6859903381642513,Boots of Travel,81.0,0.5547619047619048,Vladmir's Offering,143.0,0.5314009661835749,Skull Basher
30,33,Enigma,1,Anti-Mage,W,0.5615384615384615,0.4762954796030871,63.0,0.4069591527987897,Power Treads,145.0,0.4898203592814371,Battle Fury,48.0,0.7288135593220338,Boots of Travel,143.0,0.5434782608695652,Skull Basher,147.0,0.6014388489208633,Manta Style,81.0,0.5251256281407035,Vladmir's Offering
31,34,Tinker,1,Anti-Mage,W,0.4959349593495935,0.4354183590576767,63.0,0.3973941368078176,Power Treads,145.0,0.4444444444444444,Battle Fury,247.0,0.9487179487179487,Moon Shard,147.0,0.5536480686695279,Manta Style,81.0,0.5051124744376279,Vladmir's Offering,143.0,0.4625,Skull Basher
32,35,Sniper,1,Anti-Mage,W,0.4550898203592814,0.41358024691358025,63.0,0.3534577387486279,Power Treads,145.0,0.4304970513900589,Battle Fury,48.0,0.671875,Boots of Travel,143.0,0.4280575539568345,Skull Basher,81.0,0.4805914972273567,Vladmir's Offering,147.0,0.5518358531317494,Manta Style
33,36,Necrophos,1,Anti-Mage,W,0.5641025641025641,0.5284195086175284,63.0,0.4888254873989539,Power Treads,145.0,0.5370370370370371,Battle Fury,143.0,0.5870253164556962,Skull Basher,81.0,0.6134598792062123,Vladmir's Offering,48.0,0.748898678414097,Boots of Travel,147.0,0.6324747010119596,Manta Style
34,37,Warlock,1,Anti-Mage,W,0.4901960784313725,0.4948717948717949,63.0,0.4489795918367347,Power Treads,145.0,0.4993160054719562,Battle Fury,143.0,0.6057142857142858,Skull Basher,81.0,0.5822368421052632,Vladmir's Offering,147.0,0.6046511627906976,Manta Style,247.0,0.9393939393939394,Moon Shard
35,38,Beastmaster,1,Anti-Mage,Q,0.5376344086021505,0.488659793814433,63.0,0.4613333333333333,Power Treads,145.0,0.5022222222222222,Battle Fury,81.0,0.5643564356435643,Vladmir's Offering,147.0,0.5896103896103896,Manta Style,48.0,0.6973684210526315,Boots of Travel,143.0,0.4565217391304348,Skull Basher
36,39,Queen of Pain,1,Anti-Mage,W,0.4092409240924093,0.3940366972477064,63.0,0.345945945945946,Power Treads,145.0,0.4033366045142296,Battle Fury,143.0,0.4065420560747663,Skull Basher,48.0,0.65625,Boots of Travel,81.0,0.4605993340732519,Vladmir's Offering,147.0,0.503052503052503,Manta Style
37,40,Venomancer,1,Anti-Mage,E,0.6666666666666666,0.4798255179934569,63.0,0.4431977559607293,Power Treads,145.0,0.4901734104046243,Battle Fury,81.0,0.5806451612903226,Vladmir's Offering,147.0,0.578167115902965,Manta Style,143.0,0.4840425531914894,Skull Basher,48.0,0.6190476190476191,Boots of Travel
38,41,Faceless Void,1,Anti-Mage,Q,0.4335664335664335,0.4133042529989095,63.0,0.3672627235213205,Power Treads,145.0,0.4255813953488372,Battle Fury,48.0,0.736,Boots of Travel,147.0,0.5454545454545454,Manta Style,55.0,0.9,Hyperstone,143.0,0.4023668639053254,Skull Basher
39,42,Wraith King,1,Anti-Mage,E,0.6060606060606061,0.4948124501197127,63.0,0.4469214437367304,Power Treads,145.0,0.503862660944206,Battle Fury,48.0,0.7627906976744186,Boots of Travel,143.0,0.5656934306569343,Skull Basher,147.0,0.6255411255411255,Manta Style,81.0,0.5490196078431373,Vladmir's Offering
40,43,Death Prophet,1,Anti-Mage,Q,0.5116279069767442,0.45329087048832273,63.0,0.4084699453551913,Power Treads,145.0,0.4655367231638418,Battle Fury,143.0,0.518348623853211,Skull Basher,48.0,0.6993865030674846,Boots of Travel,81.0,0.4851936218678816,Vladmir's Offering,147.0,0.5666199158485273,Manta Style
41,44,Phantom Assassin,1,Anti-Mage,W,0.4789473684210526,0.4118129614438064,63.0,0.3717805151175812,Power Treads,145.0,0.4313011828935396,Battle Fury,143.0,0.5018315018315018,Skull Basher,48.0,0.6804123711340206,Boots of Travel,81.0,0.498,Vladmir's Offering,147.0,0.5717703349282297,Manta Style
42,45,Pugna,1,Anti-Mage,W,0.4954954954954955,0.45897435897435895,63.0,0.4130808950086058,Power Treads,145.0,0.4653061224489796,Battle Fury,143.0,0.4833333333333333,Skull Basher,81.0,0.5363636363636364,Vladmir's Offering,48.0,0.6712328767123288,Boots of Travel,147.0,0.5461783439490446,Manta Style
43,46,Templar Assassin,1,Anti-Mage,E,0.6923076923076923,0.43292181069958846,63.0,0.393970893970894,Power Treads,145.0,0.4446381865736704,Battle Fury,143.0,0.5358490566037736,Skull Basher,81.0,0.4875717017208413,Vladmir's Offering,147.0,0.5540838852097131,Manta Style,48.0,0.6878612716763006,Boots of Travel
44,47,Viper,1,Anti-Mage,E,0.5,0.47354497354497355,63.0,0.4451003541912633,Power Treads,145.0,0.4818266542404473,Battle Fury,143.0,0.5286343612334802,Skull Basher,81.0,0.5498938428874734,Vladmir's Offering,147.0,0.5853379152348225,Manta Style,48.0,0.6666666666666666,Boots of Travel
45,48,Luna,1,Anti-Mage,E,0.5,0.4588235294117647,63.0,0.430327868852459,Power Treads,145.0,0.473015873015873,Battle Fury,48.0,0.703125,Boots of Travel,143.0,0.5,Skull Basher,81.0,0.5319148936170213,Vladmir's Offering,147.0,0.6033755274261603,Manta Style
46,49,Dragon Knight,1,Anti-Mage,E,0.5454545454545454,0.46436285097192226,63.0,0.4142441860465116,Power Treads,145.0,0.4762456546929316,Battle Fury,143.0,0.526595744680851,Skull Basher,247.0,0.9583333333333334,Moon Shard,48.0,0.7134146341463414,Boots of Travel,81.0,0.515970515970516,Vladmir's Offering
